Fire_Name,County,City,Lat,Lng,Start_Date,End_Date,Agency,Acres,Cause
RANCHO,Santa Barbara,Santa Barbara,34.4221,-119.7027,6/30/2007,7/3/2007,USFS,482,UI
ZACA,Santa Barbara,Santa Barbara,34.4221,-119.7027,7/4/2007,9/2/2007,CDF,240207,HUMAN
MERIDIAN,San Bernardino,San Bernardino,34.1083,-117.2898,7/5/2007,7/6/2007,CDF,467,LIGHTNING
ANTELOPE COMPLEX,Plumas,East Quincy,39.9341,-120.8981,7/5/2007,7/13/2007,USFS,22902,LIGHTNING
ROCK 2,Tulare,Camp Nelson,36.1427,-118.6093,7/6/2007,7/7/2007,USFS,1005,UI
INYO COMPLEX,Inyo,Bishop,37.365,-118.3947,7/6/2007,7/16/2007,USFS,35176,LIGHTNING
CANYON,Los Angeles,Los Angeles,34.0549,-118.2445,7/7/2007,7/8/2007,CDF,815,UI
PASS,Mendocino,Willits,39.4096,-123.3556,7/10/2007,7/16/2007,CDF,443,UNDET.
JUNE,Mono,Mammoth Lakes,37.6433,-118.9669,7/10/2007,7/12/2007,USFS,680,LIGHTNING
POWER,Shasta,Shasta Lake,40.68,-122.3627,7/10/2007,7/12/2007,CDF,776,UNDET.
FLETCHER,Modoc,Alturas,41.4871,-120.5424,7/10/2007,7/19/2007,USFS,8121,UI
ELK COMPLEX,Siskiyou,Yreka,41.7326,-122.6378,7/10/2007,9/15/2007,USFS,17684,LIGHTNING
CHINA-BACK COMPLEX,Siskiyou,Yreka,41.7326,-122.6378,7/13/2007,7/21/2007,USFS,2906,LIGHTNING
DIGIER,Kern,Bakersfield,35.3739,-119.0195,7/21/2007,7/22/2007,CDF,364,UI
32,Butte,Paradise,39.7596,-121.622,8/3/2007,8/7/2007,CDF,382,UI
BANGOR,Butte,Paradise,39.7596,-121.622,8/7/2007,8/7/2007,CDF,1057,ARSON
TAR,Kings,Hanford,36.3275,-119.6457,8/10/2007,8/19/2007,CDF,5644,ARSON
BEAR,Siskiyou,Yreka,41.7326,-122.6378,8/13/2007,8/17/2007,CDF,841,EQUIP. USE
HWY 128,Yolo,Yolo,38.7318,-121.8078,8/14/2007,8/15/2007,CDF,400,SMOKING
DUNTON,Stanislaus,Modesto,37.6391,-120.9969,8/16/2007,8/16/2007,CDF,540,EQUIP. USE
CEMETARY,Santa Barbara,Santa Barbara,34.4221,-119.7027,8/20/2007,8/22/2007,CDF,450,UI
VISTA,Tulare,Camp Nelson,36.1427,-118.6093,8/22/2007,8/26/2007,USFS,420,UI
GROUSE,Tulare,Camp Nelson,36.1427,-118.6093,8/27/2007,9/8/2007,USFS,1022,LIGHTNING
LAZY,Tehama,Red Bluff,40.1785,-122.2359,8/29/2007,9/9/2007,USFS,599,LIGHTNING
WALLOW,Trinity,Hayfork,40.5543,-123.1831,8/29/2007,9/3/2007,USFS,1440,UI
QUIEN,San Benito,Pinnacles,36.5308,-121.1452,8/30/2007,9/2/2007,CDF,486,LIGHTNING
